Company,Company Aliases,Website,Company Structure,Date of Legal Structure,Primary Company Contact,Secondary Company Contact,Key Faculty Founder,Key Faculty Founder 2,Billing Address Line 1,Billing City,Billing State/Province,Billing Zip/Postal Code,County if NC,Company email,Phone,Description,Comments (Public),Comments (Private),Company Exit,Company Exit Date,Company Exit 2,Company Exit 2 Date
"3DFS, L.L.C.",3DFS Software-Defined Electricity,https://3dfs.com/,LLC - Limited Liability,10/26/2011,Chris Doerfler,,,,1911 NC Hwy 902,Pittsboro,North Carolina,27312-8081,Chatham,power@3dfs.com,919-807-1884,"3DFS is an engineering, manufacturing, and research and development company founded in Pittsboro, NC. We pride ourselves on delivering resources and expertise required in every step of the electronic manufacturing process. Our vision blends science and technology with sustainability in order to deliver a new category of real-time products which leverage the fundamentals of science and efficiency to improve machine performance while reducing operational expenses.",,"LLC active, website available (Patrick, 02/17/2023) Current - Active on NC Site, last NC Annual Report Filed 12/19/22, website active (Juliana, 5/15/23) NC Secretary of State website status is ""Current-Active"", active website, 3-20-24 - John.",,,,
3rd Rock Sunblock Inc,SunArmour Inc; 3rd Rock Essentials,https://3rdrockessentials.com/,C Corporation,6/4/2003,John R Schmitt,,,,784 S Vilier Ct,Virginia Beach,Virginia,23452-3848,,info@3rdrocksunblock.com,(757) 486-2088,"3rd Rock Sunblock is a pH balanced, alkaline suncare product made entirely and only from food-grade edible ingredients, safe and free from synthetic components and toxic substances.",incorporated NC; annual report 2/3/2016 Second Address: Triangle Wellness Center 182 Wind Chime Court Raleigh NC 27615-6482,"Annual report 4/10/19. Jen Lai 7/12/19; Annual report 2/11/21- JL NC Sec State website status is ""Current-Active"", website is active - 6-24-22 - Tiffany. Website still active, destructive filing on 2/17/23 on NC SOS website (Tiffany, 7/20/23). NC Secretary of State website status is ""Current-Active"", NC Annual Report Filed - 4-12-24, active website, 5/31/24 - John.",,,,
3rdTech Inc,DeltaSphere; Corporation for Development of Advanced Technology,http://www.3rdtech.com/,C Corporation,2/3/2000,James N England,Doug Schiff,,,811 Kenmore Rd,Chapel Hill,North Carolina,27514-1445,Durham,info@3rdtech.com,(919) 361-2148,3rdTech develops advanced 2-D imaging and 3-D computer graphics products for law enforcement and security applications.,"incorporated NC; annual report 3/7/2017 Notes from OTD, 11/12/2014: HiBall Tracker and Nanomanipulator were separate companies operated by the same person, they were not affiliates/subsidiaries and they have both ceased operations. Deltasphere is now doing business as 3rdTech and is operated by the same person as the other two companies but again, not affiliated. They once sold a product called Deltasphere but they rebranded their products along with the company name. These were all software (copyright) licenses originating in 2000/2001 so the original software is now mostly obsolete. UNC had no rights to the trade names, patents that may exist, or any mechanical devices. We do still have a license with 3rdTech. ""The HiBall Tracking System is being marketed in a joint venture between UNC Chapel Hill and a local company, 3rdTech. For more information, see the 3rdTech HiBall web page."" (http://www.cs.unc.edu/~tracker/#Anchor-Commercialization-23317, 11/10/2014) umbrella firm to 3 UNC Technology startups; the parent firm is assisted (Michael Kline and cindy Reifsnider, 5/2/2016)","Annual report 3/12/19, JL 7/12/19. NC annual report 3/2/20, JL 5/31/20; NC Sec State status dissolved, website says out of business, 7/20/21- JL NC Sec State website status is ""Dissolved"", website is inactive. 4-29-21 is the destruction filing date, 6-24-22 - Tiffany.","Liquidation, close down",4/29/2021,,
410 Medical Inc,410 Medical LLC,http://410medical.com/,C Corporation,4/25/2013,Mark Piehl,,,,68 T.W. Alexander Drive,Durham,North Carolina,27709,Durham,info@410medical.com,(919) 241-7900,"""410 Medical?s mission is to improve caregivers? ability to resuscitate patients. We take pride in offering innovative products and technologies for critical care. Our time and energy is focused on building strong relationships between our Company, our products, and the health care providers and hospitals we work closely with."" (website, 2/9/2017)","incorporated DE, NC","NC annual report 2/18/19. JL 7/12/19; NC AR- 3/2/21- JL NC AR-2-7-22. NC Sec State website status is ""Current-Active"", website is active - 6-24-22 - Tiffany. Current - Active, annual report filed by April 15,2023. Website active (Juliana, 5/15/23) NC SoS Status ?Current- Active?, AR filed 4/16/24, website active (John 5/31/24).",,,,
42Local LLC,,http://blog.42local.com/,LLC - Limited Liability,1/1/2013,Tom Swanekamp,,,,321 W Rosemary St,Chapel Hill,North Carolina,27516,Orange,info@42local.com,,42Local offers a platform to shop at locally owned stores on smartphones and the web.,incorporated DE website inactive; twitter account not updated since 2014; marking inactive 6/6/2017 (Cindy),,"Liquidation, close down",1/1/2014,,
52pearls,,52pearls.com,LLC - Limited Liability,4/1/2016,Amanda Huff Adkins,,,,,New Bern,North Carolina,,Craven,help@52pearls.com,,"We connect offices with staff in a dynamic, easy and efficient manner. Offices can post anonymously and for multiple positions at once. Offices can directly message potential employees within the website and save their ""favorite"" employees in an easy to use dashboard.",,"Website links to a Chinese accessories site- inactive. Dissolution date 2/4/20, JL 5/31/20. Dissolution status and website doesn't work. Marked ""not active""- JL 7/20/21","Liquidation, close down",2/4/2020,,
908 Devices Inc,,http://908devices.com/,C Corporation,2/10/2012,J Michael Ramsey,Kevin J Knopp,J Michael Ramsey,,645 Summer Street,Boston,Massachusetts,02210,,info@908devices.com,(857) 254-1500,"908 Devices is bringing the powerful capabilities of mass spectrometry out of the confines of centralized laboratories. 908 Devices' products range from rugged, handheld chemical detection tools to compact, dedicated analyzers for researchers, serving a range of industries including safety and security, life science research, biotechnology, food safety and clinical diagnostics.","incorporated in DE; added NC incorporation 7/8/2014; Dr J Michael Ramsey, Science Founder, s the Goldby Distinguished Professor of Chemistry at the University of North Carolina - Chapel Hill. Dr. Ramsey is also the director of the UNC Center for Biomedical Microtechnologies. He also serves as chair of the company's Scientific Advisory Board. Moving to 645 Summer Street in summer 2018 (Q3)","Company incorporated again in 10/15/18. NC Annual report 6/18/19. Jen Lai 7/14/19; Publicly traded company. - JL NC Sec State website status is ""Revoked"", website is still active. 5-26-21 is the destruction filing date, 6-24-22 - Tiffany. Current - Active on NC site, ""Current"" on Annual report by April 15,2023; website active (Juliana, 5/15/23) NC SoS Status ?Current- Active?, AR filed 4/4/24, website active (John 5/31/24).",IPO,12/23/2020,,
ABAN Inc,A Ban Against Neglect Inc (ABAN); aBAN On Neglect Inc,http://www.aban.org/,501c,5/3/2010,Callie Brauel,Rebecca Brandt,,,"Box KIA 16194 / Airport, Accra / Ghana, West Africa","Airport, Accra",,,,dorisdarkwah@gmail.com,+233 (20) 135 4528,ABAN is an organization that turns an environmental epidemic into hope for young mothers living on the streets of Ghana by creating products made out of recycled plastic littering the streets.,"EIN 27-2701612 Ghana Headquarters: ghanainfo@aban.org Box KIA 16194b, Airport, Accra Ghana, West Africa +233 (0) 201 3545 28","Dissolved in NC 9/26/2016. Incorporated in Ghana only, JL 5/31/20. 501(c)(3) Revocation Date: 05-15-2020, 6-24-22 - Tiffany","Liquidation, close down",5/15/2020,,
Accept U,EqualApp,http://acceptu.com/,LLC - Limited Liability,4/16/2010,Marc Zawel,Jon Parise,,,2227 Washington Street Suite 203,Newton,Massachusetts,02462,,info@acceptu.com,617-424-0700,Web-based college admissions software solution acting as a virtual guidance counselor.,"Registered in Delaware as EQUALAPP, LLC Registered in MA (ID Number: 001051076) on 4-15-2011","Website is active, MA AR filed 3-30-22, 6-30-22 - Tiffany. MA AR filed 4/5/23, website active (Juliana, 5/24/23) Incorporated MA, AR filed 4/2/24, website active and phone updated (John 5/31/24).",,,,
AccuNovo Biotechnologies Inc,AccuNovo,,C Corporation,2/9/2018,Rihe Liu,Zibo Li,Rihe Liu,Zibo Li,211 Lake Manor Road,Chapel Hill,North Carolina,27516,Orange,,(626) 500-9435,"Accunovo focuses on developing novel targeted PET imaging probes, through a combination of the biomarker-binding molecules developed in the Liu lab and PET imaging molecules developed in the Li lab, for targeted imaging of cancer for early diagnosis.","incorporated DE and NC applying for CELA May 2022 (per Matt Howe) CELA completed/signed May 2022 (per Matt Howe) Per Cindy: I had to create ICS example/projection metrics during its strategic planning some years ago. They are examples of interdisciplinary founded startups, not ICS per se.","No website and no annual report filed, JL 5/31/20.NC Annual Report- 1/13/21. No website- JL 7/20/21 NC AR - 4-8-22. NC Sec State website status is ""Current-Active"", still no website, 6-24-22 - Tiffany. Current - Active, last annual report is 2/2/23, still no website found (Juliana, 5/15/23) NC SoS Status ?Current- Active?, AR filed 4/11/24, website not found (John 5/31/24).",,,,
